primary_publisher,game_count,review_score,avg_owners_mid,avg_language_count,avg_positive_review_ratio,avg_active_users_rate,recent_release_count,avg_price,total_est_revenue,avg_est_revenue_per_game,max_single_game_revenue,recent_release_ratio,avg_owners_mid_norm,avg_language_count_norm,game_count_norm,recent_release_count_norm,avg_active_users_rate_norm
Team17 Digital Ltd,45,6.594594594594595,281777.77777777775,6.222222222222222,0.7595902980874515,0.00034837883597883595,2,964.6666666666666,16651055000.0,370023444.4444444,2548500000.0,0.044444444444444446,0.42768276785387616,0.42570979392043506,0.3727382301877314,0.22716051499996484,0.9044117647058824
Tegridy Made Games,20,6.1,29750.0,1.0,0.6238038457605387,0.0,5,54.7,37015000.0,1850750.0,14550000.0,0.25,0.13966121569378614,0.14924393652741208,0.168459422013835,0.370482842750058,0.07659313725490197
Telltale,17,7.294117647058823,326176.4705882353,2.6470588235294117,0.8241325305700246,7.37983193277311e-05,1,1140.4,6443625000.0,429575000.0,2248500000.0,0.058823529411764705,0.4464275439903274,0.27859865138140893,0.12830005996515034,0.14332232775009315,0.6605392156862745
Telltale Games,14,7.285714285714286,299642.85714285716,3.2857142857142856,0.849580707870848,4.889115646258503e-05,0,0.0,0.0,0.0,0.0,0.0,0.4355579078447189,0.31334296880047,0.08080161612582903,0.0,0.5796568627450981
Tensei Games,22,6.5,10000.0,1.3181818181818181,0.8527595473451087,9.090909090909091e-06,12,1361.2727272727273,299480000.0,13612727.272727273,15790000.0,0.5454545454545454,0.0,0.18103195825343835,0.1921594055706405,0.53035563410288,0.30392156862745096
Tero Lunkka,96,5.4945054945054945,14843.75,1.125,0.6177330707287664,2.0833333333333334e-06,18,135.72916666666666,197335000.0,2055572.9166666667,28665000.0,0.1875,0.05059795357004514,0.16229723525548487,0.5671044080806718,0.6088228593403998,0.1875
Thalamus Digital,12,6.7,21666.666666666668,2.25,0.8580146713387297,0.0,1,636.3333333333334,158120000.0,13176666.666666666,37425000.0,0.08333333333333333,0.0990454348443394,0.25378031736293966,0.04352095933159413,0.14332232775009315,0.07659313725490197
The Quantum Astrophysicists Guild,11,6.7272727272727275,66363.63636363637,15.545454545454545,0.833266030152899,2.2510822510822512e-05,1,1239.090909090909,902430000.0,82039090.9090909,349650000.0,0.09090909090909091,0.242443009089129,0.6041936338298316,0.022668219139849854,0.14332232775009315,0.44607843137254904
The Revills Games,10,7.4,16500.0,1.5,0.8144454866568642,4e-05,2,560.2,71555000.0,7155500.0,17925000.0,0.2,0.06414861256271082,0.19728975268717228,0.0,0.22716051499996484,0.5477941176470589
Thermite Games,10,6.75,265000.0,5.7,0.7985391067946082,0.00010977142857142857,6,1096.25,1629905000.0,203738125.0,1236750000.0,0.6,0.4198183444009651,0.4095494043683039,0.0,0.4023566422499772,0.7426470588235294
Thunderful Publishing,21,7.333333333333333,98809.52380952382,10.333333333333334,0.8450350231429091,0.0005333424036281178,8,1050.5714285714287,3756305000.0,178871666.66666666,1874250000.0,0.38095238095238093,0.2934353588290445,0.5227269385091766,0.18057882461709088,0.4543210299999297,0.9424019607843137
TigerQiuQiu,25,5.666666666666667,16600.0,1.04,0.5355631141345427,0.0,0,35.88,8970000.0,358800.0,2990000.0,0.0,0.06492263869544729,0.15350770926450893,0.22409978394868502,0.0,0.07659313725490197
Tim Rachor,10,6.2,24000.0,1.0,0.7762947432684275,0.0,2,269.4,96800000.0,9680000.0,74850000.0,0.2,0.1121476679165179,0.14924393652741208,0.0,0.22716051499996484,0.07659313725490197
Tin Man Games,15,6.714285714285714,32000.0,1.4666666666666666,0.8010210599171869,8e-06,1,769.2666666666667,413340000.0,27556000.0,292500000.0,0.06666666666666667,0.14900090276972291,0.19439959537189927,0.09761520293164012,0.14332232775009315,0.27941176470588236
TinyHat Studios,19,7.166666666666667,10000.0,1.4736842105263157,0.7996224419738187,0.0009473684210526315,4,1124.611111111111,202430000.0,11246111.111111112,16790000.0,0.21052631578947367,0.0,0.19501128182622615,0.1557485999176193,0.33278413942759594,0.9632352941176471
Toge Productions,25,7.888888888888889,58200.0,6.48,0.8810294191121659,6.342857142857143e-05,2,2045.76,4240995000.0,169639800.0,2887500000.0,0.08,0.22562723464233478,0.4332608593213796,0.22409978394868502,0.22716051499996484,0.6323529411764706
Tonguç Bodur,25,6.0,24800.0,1.28,0.7156209345273917,5.142857142857143e-06,4,313.04,150890000.0,6035600.0,27265000.0,0.16,0.11634815650657501,0.17745608861620973,0.22409978394868502,0.33278413942759594,0.23651960784313725
Top Hat Studios,14,7.384615384615385,27142.85714285714,3.2857142857142856,0.8507231410289828,0.00018061224489795917,6,1176.9285714285713,435280000.0,31091428.57142857,149850000.0,0.42857142857142855,0.1279121153639398,0.31334296880047,0.08080161612582903,0.4023566422499772,0.8174019607843137
Top Hat Studios Inc,14,6.5,13571.42857142857,2.4285714285714284,0.86572153065929,3.775510204081633e-05,0,91.0,25480000.0,3185000.0,13965000.0,0.0,0.039118667661034175,0.26529715264070985,0.08080161612582903,0.0,0.5343137254901961
Toplitz Productions,19,5.588235294117647,142631.57894736843,8.68421052631579,0.6296409481339552,0.00037017042606516293,4,1311.8333333333333,5631560000.0,312864444.4444444,3673500000.0,0.21052631578947367,0.3404599324016489,0.4888685788404032,0.1557485999176193,0.33278413942759594,0.9093137254901961
Topware Interactive,20,5.526315789473684,663000.0,6.45,0.685957109620422,1.712857142857143e-05,0,1037.95,14521550000.0,726077500.0,3412500000.0,0.0,0.5372994955674819,0.4323955661791377,0.168459422013835,0.0,0.4007352941176471
Towndarktales,10,6.6,10000.0,7.1,0.7886697520441818,5e-05,4,656.4,65640000.0,6564000.0,8790000.0,0.4,0.0,0.4504065456818298,0.0,0.33278413942759594,0.5845588235294118
Tranquility games,16,6.125,46875.0,6.6875,0.7314504797146425,1.6785714285714285e-05,2,195.25,134200000.0,8387500.0,14925000.0,0.125,0.19790493754491048,0.43915244806583886,0.11340914000229768,0.22716051499996484,0.39705882352941174
Triority Interactive Novels,16,6.2,10000.0,1.1875,0.7121557265849021,0.0,1,215.86666666666667,32380000.0,2158666.6666666665,9750000.0,0.0625,0.0,0.168538642902419,0.11340914000229768,0.14332232775009315,0.07659313725490197
