publisher_primary,game_count,review_score,avg_owners_mid,avg_language_count,avg_positive_review_ratio,avg_active_users_rate,recent_release_count,recent_release_ratio,avg_owners_mid_norm,avg_language_count_norm,game_count_norm,recent_release_count_norm,avg_active_users_rate_norm
Ultimate Games S.A.,42,6.043478260869565,68928.57142857143,6.4523809523809526,0.7311551778952113,2.3759637188208617e-05,0,0.0,0.24730101172504748,0.43246436742181,0.3551684159285284,0.0,0.4533169533169533
United Independent Entertainment,62,4.140350877192983,36129.032258064515,5.225806451612903,0.3574068038827537,8.218125960061444e-06,0,0.0,0.16454782390185985,0.39374441646542263,0.4546700874562264,0.0,0.28132678132678135
Untold Tales,36,6.944444444444445,69722.22222222222,8.194444444444445,0.8197415612696467,0.00024465608465608466,14,0.3888888888888889,0.24876761993048005,0.47769438126560676,0.3160168701261005,0.5599446544275608,0.8587223587223587
Uzura Studio,10,6.0,10000.0,1.5,0.7166409380940273,0.0,3,0.3,0.0,0.19728975268717228,0.0,0.2866446555001863,0.07678132678132678
VRKiwi,12,6.444444444444445,21666.666666666668,3.4166666666666665,0.8608299183302913,1.3095238095238096e-05,6,0.5,0.0990454348443394,0.3198234808441147,0.04352095933159413,0.4023566422499772,0.3617936117936118
Vaka Game Magazine,17,7.5,26470.58823529412,3.235294117647059,0.8869634023028325,8.268907563025211e-05,5,0.29411764705882354,0.12469931007690946,0.31079485045642824,0.12830005996515034,0.370482842750058,0.6842751842751843
Valkeala Software,16,5.6923076923076925,13125.0,1.0,0.6687566684906081,0.0,13,0.8125,0.034834018179393696,0.14924393652741208,0.11340914000229768,0.5456789700000703,0.07678132678132678
Valkyria Games,17,6.0,27941.176470588234,1.0,0.7123546461400235,1.680672268907563e-06,7,0.4117647058823529,0.13162553547274475,0.14924393652741208,0.12830005996515034,0.4299669832502795,0.18181818181818182
Valkyrie Initiative,14,6.214285714285714,114285.71428571429,3.7142857142857144,0.7140264714824907,0.00013353741496598638,5,0.35714285714285715,0.31207596708093754,0.33386453597130084,0.08080161612582903,0.370482842750058,0.7665847665847666
Valve,36,8.083333333333334,24552222.222222224,13.75,0.89060723673015,0.0005105810317460318,0,0.0,1.0,0.5794609328175563,0.3160168701261005,0.0,0.9385749385749386
Versus Evil,25,6.44,162200.0,8.4,0.7428061829766693,9.022095238095238e-05,5,0.2,0.3569301424248429,0.48245501680106373,0.22409978394868502,0.370482842750058,0.7002457002457002
Vertigo Games,19,6.722222222222222,99736.84210526316,7.7368421052631575,0.8011634370254144,0.0016963208020050126,6,0.3157894736842105,0.2946320282844057,0.4667024925896798,0.1557485999176193,0.4023566422499772,0.9889434889434889
Vertigo Gaming Inc.,11,6.25,133636.36363636365,1.4545454545454546,0.7132314088159606,2.2043290043290043e-05,1,0.09090909090909091,0.33211466991138255,0.19333893565504245,0.022668219139849854,0.14332232775009315,0.44348894348894347
Vidas Salavejus,23,6.5,36956.52173913043,1.8695652173913044,0.8052924470668069,0.0,10,0.43478260869565216,0.16744881334665992,0.226974978848607,0.20324704375694072,0.49581379227537004,0.07678132678132678
