publisher_primary,baseline_score,baseline_rank,min_score,max_score,mean_score,score_range,score_std,min_rank,max_rank,rank_range,mean_absolute_rank_change,top_5_frequency,top_10_frequency,top_20_frequency
10tons Ltd,0.4900510241085885,234.0,0.3935560405026754,0.5865460077145016,0.49005102410858853,0.1929899672118262,0.042389192397009584,147.0,317.0,170.0,29.258823529411764,0.0,0.0,0.0
Lovely Games,0.48966925674970213,235.0,0.4406130900829211,0.5387254234164833,0.4896692567497022,0.09811233333356223,0.030300711419187235,149.0,331.0,182.0,43.98823529411764,0.0,0.0,0.0
HeR Interactive,0.48932723916904436,236.0,0.3505607665533276,0.6280937117847611,0.48932723916904436,0.27753294523143357,0.05495558601443837,160.0,356.0,196.0,34.576470588235296,0.0,0.0,0.0
Ravenscourt,0.48923861386125916,237.0,0.4146297905732932,0.5638474371492251,0.48923861386125916,0.14921764657593195,0.029375611329270475,210.0,285.0,75.0,13.964705882352941,0.0,0.0,0.0
LGT SIA,0.4889904542758639,238.0,0.3950717817880609,0.582909126763667,0.48899045427586396,0.1878373449756061,0.04871735117432449,83.0,373.0,290.0,60.55294117647059,0.0,0.0,0.0
Shady Corner Games,0.48702077403559996,239.0,0.4043077893815779,0.569733758689622,0.4870207740356,0.16542596930804404,0.0477175383376398,128.0,402.0,274.0,53.411764705882355,0.0,0.0,0.0
Beijing Happy Entertainment Technology,0.4860666341314542,240.0,0.3920055393997321,0.5801277288631763,0.48606663413145423,0.18812218946344422,0.04125292963850182,178.0,335.0,157.0,26.894117647058824,0.0,0.0,0.0
Studio Goya,0.4853568570535314,241.0,0.322782084393451,0.6479316297136117,0.48535685705353143,0.3251495453201607,0.06437361156210311,127.0,430.0,303.0,49.98823529411764,0.0,0.0,0.0
Chorus Worldwide Games,0.48518643822076707,242.0,0.39907067455226614,0.5713022018892681,0.48518643822076707,0.17223152733700192,0.036748490205314774,195.0,280.0,85.0,15.647058823529411,0.0,0.0,0.0
SakuraGame,0.48473289061156133,243.0,0.3915264013336661,0.5779393798894565,0.48473289061156133,0.18641297855579042,0.04171937190402428,153.0,336.0,183.0,31.04705882352941,0.0,0.0,0.0
Alawar Casual,0.48403976406912,244.0,0.3749726581566406,0.5931068699815996,0.48403976406912,0.21813421182495896,0.04388158718556525,211.0,308.0,97.0,19.341176470588234,0.0,0.0,0.0
Microids,0.48388096715738704,245.0,0.42353356122949454,0.5442283730852796,0.48388096715738704,0.12069481185578507,0.025015753832528836,189.0,310.0,121.0,26.423529411764704,0.0,0.0,0.0
Flat Cat Games,0.4830138896333864,246.0,0.35346020821850266,0.6125675710482703,0.4830138896333864,0.25910736282976765,0.05117023472261361,184.0,350.0,166.0,27.811764705882354,0.0,0.0,0.0
Fulqrum Publishing,0.48276927752682774,247.0,0.4124489494639857,0.5530896055896699,0.4827692775268278,0.14064065612568422,0.02856348684956333,206.0,336.0,130.0,23.070588235294117,0.0,0.0,0.0
I commissioned some series,0.48258988851014084,248.0,0.35629368354018176,0.6088860934801001,0.48258988851014095,0.2525924099399184,0.05257882443723979,55.0,456.0,401.0,79.29411764705883,0.0,0.0,0.0
"H2 Interactive Co., Ltd.",0.48234747680836937,249.0,0.38038968503836756,0.5843052685783712,0.48234747680836937,0.2039155835400036,0.04534977626022964,166.0,371.0,205.0,39.258823529411764,0.0,0.0,0.0
Midnight Games,0.48157845311557235,250.0,0.4005947964427859,0.5625621097883589,0.4815784531155723,0.16196731334557296,0.03765094276630659,122.0,447.0,325.0,59.38823529411765,0.0,0.0,0.0
TinyHat Studios,0.4808783061803504,251.0,0.33584561101457966,0.6259110013461212,0.4808783061803504,0.29006539033154155,0.05918853093145008,161.0,403.0,242.0,46.752941176470586,0.0,0.0,0.0
RockGame S.A.,0.48058409506014355,252.0,0.39145298993521427,0.5697152001850728,0.48058409506014355,0.17826221024985855,0.03511534376291399,240.0,293.0,53.0,9.91764705882353,0.0,0.0,0.0
Sigyaad Team,0.4791553736252879,253.0,0.37032729655555013,0.5879834506950256,0.47915537362528776,0.21765615413947542,0.04537141419123176,216.0,317.0,101.0,20.211764705882352,0.0,0.0,0.0
SOEDESCO,0.4784093956449998,254.0,0.3875514024987142,0.5692673887912855,0.47840939564499985,0.18171598629257124,0.03831709152803032,191.0,389.0,198.0,31.823529411764707,0.0,0.0,0.0
Ripstone,0.4782735477677286,255.0,0.3502118643001039,0.6063352312353533,0.4782735477677286,0.25612336693524934,0.054833043272398185,156.0,445.0,289.0,51.4,0.0,0.0,0.0
Games Operators,0.4781325906598775,256.0,0.3849786139737362,0.5712865673460188,0.4781325906598775,0.18630795337228262,0.038386854039438346,200.0,380.0,180.0,26.788235294117648,0.0,0.0,0.0
Application Systems Heidelberg,0.4780603875405074,257.0,0.3490194911226221,0.6071012839583926,0.47806038754050734,0.2580817928357705,0.053900549792542114,170.0,360.0,190.0,39.529411764705884,0.0,0.0,0.0
Phoenix Games,0.4774974755167911,258.0,0.3585227131166223,0.59647223791696,0.4774974755167911,0.2379495248003377,0.05081520776982684,166.0,432.0,266.0,44.92941176470588,0.0,0.0,0.0
Humongous Entertainment,0.4762541446466694,259.0,0.31650062850001415,0.6360076607933247,0.4762541446466694,0.31950703229331057,0.06339606936035388,147.0,447.0,300.0,51.43529411764706,0.0,0.0,0.0
