rank,publisher_primary,game_count,scale_reach_score,quality_score,engagement_score,momentum_score,overall_score
573,Valkyria Games,17,0.13514921568367816,0.6339551008477895,0.1818181818181818,0.41904561682952357,0.3367092346316891
574,Mature Games,11,0.18461101804263882,0.6830862302652312,0.3341523341523341,0.0,0.3363701922249598
575,PastureSoft,10,0.05269907112462734,0.5469847282347282,0.4324324324324324,0.4481931371000232,0.33625555041552796
576,EntwicklerX,10,0.09772661009126932,0.7291525891094857,0.3255528255528255,0.11732893110003724,0.3356599950403607
577,Black Hole,15,0.10628302333155924,0.6663728296792812,0.3642506142506142,0.17086420599998592,0.3355906608199508
578,Boogygames Studios,131,0.09114662104593702,0.5734959322834312,0.3144963144963145,0.4497815035107239,0.33431658547697873
579,"Mindware Co., Ltd.",13,0.06421547744886348,0.7598648232582451,0.2757985257985258,0.18317189830767822,0.3330703539904327
580,MB Game Studio,39,0.03601109563603784,0.7564869876711982,0.0767813267813267,0.5204522206592368,0.3329740782291235
581,Nikita Morti,10,0.04730920857119131,0.7417935767935768,0.0767813267813267,0.5209426568999909,0.332593959929254
582,Hound Picked Games,10,0.09627830156879949,0.8330888854222498,0.0767813267813267,0.21086420599998593,0.3306099674320179
583,Back To Basics Gaming,57,0.41787150899493897,0.48639138130757203,0.183046683046683,0.0,0.32878177914983686
584,AMG GAMES,10,0.048721226789944304,0.8814390153783254,0.0767813267813267,0.21086420599998593,0.3284700302462413
585,Dead Drop Studios LLC,11,0.15955570392092736,0.5689873614700347,0.355036855036855,0.199955115090895,0.32754134308434024
586,Slippy Floor,30,0.10778655716136341,0.5669883926319467,0.2585995085995086,0.452142253641152,0.3273630525621357
587,Cakewalk,12,0.12290871120071586,0.7045949119896521,0.3617936117936118,0.0,0.32675524487586854
588,Winter Wolves,37,0.09040818124716454,0.6505660320125928,0.3501228501228501,0.1979785206359032,0.3265340211602409
589,Crystal Game Works,10,0.07140024973117641,0.7867156570763953,0.3255528255528255,0.0,0.3261153496393955
590,MIRROR Soft,26,0.09686279120278785,0.6978590660000366,0.2757985257985258,0.18388863143084372,0.32600269659531844
591,FreezeNova,20,0.25410846604760934,0.617327521981264,0.2567567567567567,0.0,0.3254875710623938
592,Male Doll,17,0.0540216229111425,0.6936202066659416,0.2481572481572481,0.3246637253353173,0.3253246384504295
593,Erbe Software,27,0.07347615201005062,0.5733503687670354,0.2143734643734643,0.5626490577334824,0.32499381536834354
594,DigiPen Institute of Technology,40,0.2074997451260412,0.7217850703584261,0.1756756756756756,0.0,0.32429556703677737
595,SeedWall,26,0.19799355830069076,0.5828608991577416,0.2948402948402948,0.13701805215383206,0.32367678194369803
596,EnsenaSoft,39,0.23792088372904646,0.4332245654111979,0.4950859950859951,0.0727135464846526,0.32316390991842253
597,吃了就睡工作室,10,0.1374657792351682,0.6997540570645511,0.3255528255528255,0.0,0.32314980496223933
598,Studio2760,14,0.06806406306770903,0.6979054906531529,0.2659705159705159,0.24322929077150302,0.3228725660794727
599,Hentai Room,12,0.044847813090870485,0.6307764252208696,0.2868550368550369,0.39819313710002324,0.3220296400840764
